SRR741877	GSM1084036	GSE44375
SRR741878	GSM1084036	GSE44375
SRR741879	GSM1084037	GSE44375
SRR741880	GSM1084038	GSE44375
SRR741881	GSM1084038	GSE44375
SRR741882	GSM1084039	GSE44375
SRR741883	GSM1084039	GSE44375
SRR827498	GSM1122813	GSE46069
SRR827499	GSM1122814	GSE46069
SRR827500	GSM1122815	GSE46069
SRR827501	GSM1122816	GSE46069
SRR827502	GSM1122817	GSE46069
SRR827503	GSM1122818	GSE46069
SRR827504	GSM1122819	GSE46069
SRR827505	GSM1122820	GSE46069
SRR827506	GSM1122821	GSE46069
SRR827507	GSM1122822	GSE46069
SRR827508	GSM1122823	GSE46069
SRR827509	GSM1122824	GSE46069
SRR827510	GSM1122825	GSE46069
SRR827511	GSM1122826	GSE46069
SRR828671	GSM1124036	GSE46127
SRR828672	GSM1124037	GSE46127
SRR828673	GSM1124038	GSE46127
SRR828674	GSM1124039	GSE46127
SRR828675	GSM1124040	GSE46127
SRR828676	GSM1124041	GSE46127
SRR828677	GSM1124042	GSE46127
SRR828678	GSM1124043	GSE46127
SRR846969	GSM1133704	GSE46669
SRR846970	GSM1133705	GSE46669
SRR846971	GSM1133706	GSE46669
SRR846972	GSM1133707	GSE46669
SRR846973	GSM1133708	GSE46669
SRR846974	GSM1133709	GSE46669
SRR846975	GSM1133710	GSE46669
SRR846976	GSM1133711	GSE46669
SRR846977	GSM1133712	GSE46669
SRR846978	GSM1133713	GSE46669
SRR846979	GSM1133714	GSE46669
SRR846980	GSM1133715	GSE46669
SRR868960	GSM1150714	GSE47474
SRR868961	GSM1150715	GSE47474
SRR868962	GSM1150716	GSE47474
SRR868963	GSM1150717	GSE47474
SRR868964	GSM1150718	GSE47474
SRR868965	GSM1150719	GSE47474
SRR868966	GSM1150720	GSE47474
SRR868967	GSM1150721	GSE47474
SRR868968	GSM1150722	GSE47474
SRR868969	GSM1150723	GSE47474
SRR868970	GSM1150724	GSE47474
SRR868971	GSM1150725	GSE47474
SRR868972	GSM1150726	GSE47474
