SRR618540	SRA061827	live	2013-07-30T16:25:19Z	2013-05-14T19:07:13Z	2012-11-20T15:16:04Z	RUN	GEO	public	GSM1039511_r1	SRX205343	SRS376223	SRP017255	1	26993024	2321400064	c4283d3c5a9014c139661466796a2cea	SAMN01817926	PRJNA181346	-
SRR618541	SRA061827	live	2013-07-30T16:25:27Z	2013-05-14T19:07:13Z	2012-11-20T15:16:04Z	RUN	GEO	public	GSM1039512_r1	SRX205344	SRS376224	SRP017255	1	23037362	2902707612	fbb43af908c8af6b1aa1211acd0f5518	SAMN01817927	PRJNA181346	-
SRR618542	SRA061827	live	2013-07-30T16:26:16Z	2013-05-14T19:07:13Z	2012-11-20T15:16:04Z	RUN	GEO	public	GSM1039513_r1	SRX205345	SRS376225	SRP017255	1	42640293	5372676918	cb8e1deb3abafb6505fb9b063e928bbd	SAMN01817928	PRJNA181346	-
SRR636875	SRA063005	live	2015-02-17T23:59:11Z	2015-02-17T23:59:10Z	2012-12-19T13:46:25Z	RUN	GEO	public	GSM1055025_r1	SRX211615	SRS380729	SRP017611	1	20232193	2063683686	286a7b51f83924e45a312df714d89410	SAMN01831892	PRJNA184055	-
SRR636876	SRA063005	live	2015-02-17T23:59:11Z	2015-02-17T23:59:10Z	2012-12-19T13:46:26Z	RUN	GEO	public	GSM1055026_r1	SRX211616	SRS380730	SRP017611	1	18720323	1909472946	3e614bac0cea4cb91bbcc23758624fdd	SAMN01831893	PRJNA184055	-
SRR636877	SRA063005	live	2015-02-17T23:59:11Z	2015-02-17T23:59:10Z	2012-12-19T13:46:26Z	RUN	GEO	public	GSM1055027_r1	SRX211617	SRS380731	SRP017611	1	15322801	1562925702	d65d3d86976c9f2a25814c851da08e23	SAMN01831894	PRJNA184055	-
SRR636925	SRA063005	live	2015-02-17T23:59:11Z	2015-02-17T23:59:10Z	2012-12-19T13:46:48Z	RUN	GEO	public	GSM1055075_r1	SRX211665	SRS380779	SRP017611	1	15742398	1605724596	26873106c0860d1f0c2c835906485a9f	SAMN01831942	PRJNA184055	-
SRR636926	SRA063005	live	2015-02-17T23:59:11Z	2015-02-17T23:59:10Z	2012-12-19T13:46:48Z	RUN	GEO	public	GSM1055076_r1	SRX211666	SRS380780	SRP017611	1	19030539	1941114978	c9d17d539c4e6604173cd1126444a0d9	SAMN01831943	PRJNA184055	-
SRR636927	SRA063005	live	2015-02-17T23:59:11Z	2015-02-17T23:59:10Z	2012-12-19T13:46:49Z	RUN	GEO	public	GSM1055077_r1	SRX211667	SRS380781	SRP017611	1	15437892	1574664984	43d24597bc904630801dc4d69c415daa	SAMN01831944	PRJNA184055	-
SRR636970	SRA063005	live	2015-02-17T23:59:12Z	2015-02-17T23:59:10Z	2012-12-19T13:47:09Z	RUN	GEO	public	GSM1055120_r1	SRX211710	SRS380824	SRP017611	1	17132240	1747488480	5fc1a4204ce7d7da4e7683be435d30f0	SAMN01831987	PRJNA184055	-
SRR636971	SRA063005	live	2015-02-17T23:59:12Z	2015-02-17T23:59:10Z	2012-12-19T13:47:09Z	RUN	GEO	public	GSM1055121_r1	SRX211711	SRS380825	SRP017611	1	12301330	1254735660	702993ee4bfee4ffdcb9060c5aa00af0	SAMN01831988	PRJNA184055	-
SRR636972	SRA063005	live	2015-02-17T23:59:12Z	2015-02-17T23:59:10Z	2012-12-19T13:47:10Z	RUN	GEO	public	GSM1055122_r1	SRX211712	SRS380826	SRP017611	1	12885793	1314350886	1fc9f02b74b4f128044cdb3d7c00333e	SAMN01831989	PRJNA184055	-
SRR672467	SRA066138	live	2015-09-05T08:51:11Z	2015-07-22T21:03:26Z	2013-02-05T15:10:03Z	RUN	GEO	public	GSM1077482_r1	SRX225351	SRS390651	SRP018407	1	38905156	1945257800	48bc5cd1cfce451cbd76c0c7ff35adb7	SAMN01911294	PRJNA188518	-
SRR672468	SRA066138	live	2015-09-05T08:45:12Z	2015-07-22T21:03:26Z	2013-02-05T15:10:03Z	RUN	GEO	public	GSM1077483_r1	SRX225352	SRS390652	SRP018407	1	38332215	1916610750	0808b3a184fa9358680f25ac58c2a979	SAMN01911295	PRJNA188518	-
SRR672469	SRA066138	live	2015-09-05T08:39:08Z	2015-07-22T21:03:26Z	2013-02-05T15:10:04Z	RUN	GEO	public	GSM1077484_r1	SRX225353	SRS390653	SRP018407	1	37100857	1855042850	65cfd9b6e1d432ecaca95776a6d03ac1	SAMN01911296	PRJNA188518	-
SRR672470	SRA066138	live	2015-09-05T08:36:27Z	2015-07-22T21:03:26Z	2013-02-05T15:10:05Z	RUN	GEO	public	GSM1077485_r1	SRX225354	SRS390654	SRP018407	1	39110148	1955507400	4fb590cdc8a023d6c384b4f3fd5d709a	SAMN01911297	PRJNA188518	-
SRR672471	SRA066138	live	2015-09-05T08:32:09Z	2015-07-22T21:03:26Z	2013-02-05T15:10:05Z	RUN	GEO	public	GSM1077486_r1	SRX225355	SRS390655	SRP018407	1	37247619	1862380950	486050dd98db63d42e4922ddbb456411	SAMN01911298	PRJNA188518	-
SRR672472	SRA066138	live	2015-09-05T08:31:06Z	2015-07-22T21:03:26Z	2013-02-05T15:10:06Z	RUN	GEO	public	GSM1077487_r1	SRX225356	SRS390656	SRP018407	1	37803472	1890173600	0b57ca2fdc0816b74cdd851b6cb48a2f	SAMN01911299	PRJNA188518	-
SRR687070	SRA066338	live	2016-09-05T19:33:13Z	2016-09-05T19:33:05Z	2013-02-08T15:24:16Z	RUN	GEO	public	GSM1079731_r1	SRX229100	SRS391978	SRP018516	1	41033860	4103386000	5131fc82840aa44e4509456f1613290b	SAMN01915324	PRJNA188784	-
SRR687071	SRA066338	live	2016-09-05T19:33:13Z	2016-09-05T19:33:05Z	2013-02-08T15:24:17Z	RUN	GEO	public	GSM1079731_r2	SRX229100	SRS391978	SRP018516	1	29324751	2932475100	9f818f91d5e0caa3733424b3a4df73b8	SAMN01915324	PRJNA188784	-
SRR687072	SRA066338	live	2016-09-05T19:33:13Z	2016-09-05T19:33:05Z	2013-02-08T15:24:18Z	RUN	GEO	public	GSM1079732_r1	SRX229101	SRS391979	SRP018516	1	50552495	5055249500	b96933441e6f957195e93d1cc20d0277	SAMN01915325	PRJNA188784	-
SRR687073	SRA066338	live	2016-09-05T19:33:13Z	2016-09-05T19:33:05Z	2013-02-08T15:24:18Z	RUN	GEO	public	GSM1079732_r2	SRX229101	SRS391979	SRP018516	1	17663338	1766333800	3cc57f4855e099f155d4caf19f9d76c1	SAMN01915325	PRJNA188784	-
SRR741861	SRA067300	live	2016-10-28T17:59:31Z	2014-02-13T00:26:07Z	2013-02-18T16:45:16Z	RUN	GEO	public	GSM1084028_r1	SRX241546	SRS1766947	SRP018715	1	50626167	2531308350	3177103cbe6d066457e05f11a2d1b118	SAMN02358748	PRJNA219464	-
SRR741862	SRA067300	live	2016-10-28T17:59:31Z	2014-02-13T00:26:07Z	2013-02-18T16:45:16Z	RUN	GEO	public	GSM1084028_r2	SRX241546	SRS1766947	SRP018715	1	50626167	2531308350	5efbed8bdbe68f68f2ed48937477f81d	SAMN02358748	PRJNA219464	-
SRR741863	SRA067300	live	2016-10-28T20:08:35Z	2014-02-13T00:26:07Z	2013-02-18T16:45:17Z	RUN	GEO	public	GSM1084029_r1	SRX241547	SRS1767044	SRP018715	1	45088225	2254411250	8e1cbf116ef4b8c15a23a35c7518b772	SAMN02358745	PRJNA219464	-
SRR741864	SRA067300	live	2016-10-28T20:08:35Z	2014-02-13T00:26:07Z	2013-02-18T16:45:18Z	RUN	GEO	public	GSM1084029_r2	SRX241547	SRS1767044	SRP018715	1	45088225	2254411250	325efa6d337902d3d19846fd27f00e80	SAMN02358745	PRJNA219464	-
SRR741865	SRA067300	live	2016-10-28T20:08:43Z	2014-02-13T00:26:07Z	2013-02-18T16:45:18Z	RUN	GEO	public	GSM1084030_r1	SRX241548	SRS1767043	SRP018715	1	65426708	3271335400	c3142a7e85cdcb20a6c313b3e6cb8590	SAMN02358751	PRJNA219464	-
SRR741866	SRA067300	live	2016-10-28T20:08:43Z	2014-02-13T00:26:07Z	2013-02-18T16:45:18Z	RUN	GEO	public	GSM1084030_r2	SRX241548	SRS1767043	SRP018715	1	65426708	3271335400	86b3a57daf2b698a234502c8e241823d	SAMN02358751	PRJNA219464	-
SRR741867	SRA067300	live	2016-10-28T20:08:51Z	2014-02-13T00:26:07Z	2013-02-18T16:45:18Z	RUN	GEO	public	GSM1084031_r1	SRX241549	SRS1767045	SRP018715	1	37202593	1860129650	2937fd5bb0be00ec3394dbfac9ae07d3	SAMN02358747	PRJNA219464	-
SRR741868	SRA067300	live	2016-10-28T20:08:51Z	2014-02-13T00:26:07Z	2013-02-18T16:45:18Z	RUN	GEO	public	GSM1084031_r2	SRX241549	SRS1767045	SRP018715	1	37202593	1860129650	45ce2147aea3410fec4045df3f7f863b	SAMN02358747	PRJNA219464	-
SRR741869	SRA067300	live	2016-10-28T20:09:06Z	2014-02-13T00:26:07Z	2013-02-18T16:45:18Z	RUN	GEO	public	GSM1084032_r1	SRX241550	SRS1767046	SRP018715	1	37832159	1891607950	a9cb1b649c1c0d6f38a1d8b93047e6da	SAMN02358742	PRJNA219464	-
SRR741870	SRA067300	live	2016-10-28T20:09:06Z	2014-02-13T00:26:07Z	2013-02-18T16:45:18Z	RUN	GEO	public	GSM1084032_r2	SRX241550	SRS1767046	SRP018715	1	37832159	1891607950	6a4aab0345f72fd23269eaf388819195	SAMN02358742	PRJNA219464	-
SRR741871	SRA067300	live	2016-10-28T20:10:09Z	2014-02-13T00:26:07Z	2013-02-18T16:45:19Z	RUN	GEO	public	GSM1084033_r1	SRX241551	SRS1767053	SRP018715	1	34777043	1738852150	7ef05ded7589c79b36185bd41d379c89	SAMN02358743	PRJNA219464	-
