ENSMUSG00000002265.16	Peg3	18616
ENSMUSG00000002266.17	Zim1	22776
ENSMUSG00000002274.12	Metrn	70083
ENSMUSG00000002279.18	Lmf1	76483
ENSMUSG00000002280.10	Narfl	67563
ENSMUSG00000002289.15	Angptl4	57875
ENSMUSG00000002297.16	Dbf4	27214
ENSMUSG00000002307.15	Daxx	13163
ENSMUSG00000002308.15	Cd320	54219
ENSMUSG00000002319.16	Ipo4	75751
ENSMUSG00000002320.15	Tm9sf1	74140
ENSMUSG00000002324.8	Rec8	56739
ENSMUSG00000002325.15	Irf9	16391
ENSMUSG00000002326.6	Gmpr2	105446
ENSMUSG00000002329.7	Mdp1	67881
ENSMUSG00000002332.16	Dhrs1	52585
ENSMUSG00000002341.8	Ncan	13004
ENSMUSG00000002342.17	Tmem161a	234371
ENSMUSG00000002343.11	Armc6	76813
ENSMUSG00000002345.18	Borcs8	72368
ENSMUSG00000002346.16	Slc25a42	73095
ENSMUSG00000002365.10	Snx9	66616
ENSMUSG00000002372.8	Ranbp3	71810
ENSMUSG00000002379.6	Ndufa11	69875
ENSMUSG00000002384.2	Bmp8b	12164
ENSMUSG00000002393.14	Nr2f6	13864
ENSMUSG00000002395.14	Use1	67023
ENSMUSG00000002396.8	Ocel1	77090
ENSMUSG00000002409.18	Dyrk1b	13549
ENSMUSG00000002413.15	Braf	109880
ENSMUSG00000002416.13	Ndufb2	68198
ENSMUSG00000002428.12	Hltf	20585
ENSMUSG00000002455.14	Prpf6	68879
ENSMUSG00000002458.13	Rgs19	56470
ENSMUSG00000002459.17	Rgs20	58175
ENSMUSG00000002475.15	Abhd3	106861
ENSMUSG00000002477.4	Snrpd1	20641
ENSMUSG00000002486.15	Tchp	77832
ENSMUSG00000002489.16	Tiam1	21844
ENSMUSG00000002496.10	Tsc2	22084
ENSMUSG00000002500.15	Rpl3l	66211
ENSMUSG00000002504.14	Slc9a3r2	65962
ENSMUSG00000002524.17	Puf60	67959
ENSMUSG00000002546.16	Golga2	99412
ENSMUSG00000002550.16	Uck1	22245
ENSMUSG00000002565.16	Scin	20259
ENSMUSG00000002578.17	Ikzf4	22781
ENSMUSG00000002580.7	Mien1	103742
ENSMUSG00000002588.13	Pon1	18979
ENSMUSG00000002602.16	Axl	26362
ENSMUSG00000002603.15	Tgfb1	21803
ENSMUSG00000002608.8	Ccdc97	52132
ENSMUSG00000002617.14	Zfp40	22700
ENSMUSG00000002625.9	Akap8l	54194
ENSMUSG00000002633.4	Shh	20423
ENSMUSG00000002635.11	Pdcd2l	68079
ENSMUSG00000002658.9	Gtf2f1	98053
ENSMUSG00000002660.7	Clpp	53895
ENSMUSG00000002661.14	Alkbh7	66400
ENSMUSG00000002664.2	Pspn	19197
ENSMUSG00000002668.7	Dennd1c	70785
ENSMUSG00000002679.14	Med6	69792
ENSMUSG00000002688.8	Prkd1	18760
ENSMUSG00000002699.13	Lcp2	16822
ENSMUSG00000002718.14	Cse1l	110750
ENSMUSG00000002728.14	Naa20	67877
ENSMUSG00000002731.6	Prkra	23992
ENSMUSG00000002732.14	Fkbp7	14231
ENSMUSG00000002733.8	Plekha3	83435
ENSMUSG00000002741.9	Ykt6	56418
ENSMUSG00000002748.7	Baz1b	22385
ENSMUSG00000002763.16	Pex6	224824
ENSMUSG00000002767.13	Mrpl2	27398
ENSMUSG00000002768.7	Mea1	17256
ENSMUSG00000002769.8	Gnmt	14711
ENSMUSG00000002771.12	Grin2d	14814
ENSMUSG00000002778.14	Kdelr1	68137
ENSMUSG00000002781.19	Tmem143	70209
ENSMUSG00000002791.16	Pdxk-ps	435518
ENSMUSG00000002797.9	Ggct	110175
ENSMUSG00000002799.6	Jag2	16450
ENSMUSG00000002803.14	Btbd6	399566
ENSMUSG00000002804.4	Nudt14	66174
ENSMUSG00000002808.7	Epdr1	105298
ENSMUSG00000002812.4	Flii	14248
ENSMUSG00000002814.15	Top3a	21975
ENSMUSG00000002820.6	Atg4d	235040
ENSMUSG00000002825.8	Qtrt1	60507
ENSMUSG00000002831.13	Plin4	57435
ENSMUSG00000002833.11	Hdgfrp2	15193
ENSMUSG00000002835.8	Chaf1a	27221
ENSMUSG00000002844.9	Adprh	11544
ENSMUSG00000002845.14	Tmem39a	67846
ENSMUSG00000002846.9	Timmdc1	76916
ENSMUSG00000002847.7	Pla1a	85031
ENSMUSG00000002870.8	Mcm2	17216
ENSMUSG00000002871.14	Tpra1	24100
ENSMUSG00000002881.14	Nab1	17936
ENSMUSG00000002885.14	Adgre5	26364
ENSMUSG00000002897.5	Il17ra	16172
ENSMUSG00000002900.16	Lamb1	16777
ENSMUSG00000002908.17	Kcnn1	84036
ENSMUSG00000002910.11	Arrdc2	70807
ENSMUSG00000002930.6	Ppp1r17	19051
ENSMUSG00000002944.15	Cd36	12491
ENSMUSG00000002948.19	Map2k7	26400
ENSMUSG00000002949.15	Timm44	21856
ENSMUSG00000002957.11	Ap2a2	11772
ENSMUSG00000002963.17	Pnkp	59047
ENSMUSG00000002968.9	Med25	75613
ENSMUSG00000002980.14	Bcam	57278
ENSMUSG00000002981.10	Clptm1	56457
ENSMUSG00000002983.17	Relb	19698
ENSMUSG00000002984.17	Tomm40	53333
ENSMUSG00000002985.16	Apoe	11816
ENSMUSG00000002992.17	Apoc2	11813
ENSMUSG00000002996.17	Hbp1	73389
ENSMUSG00000002997.15	Prkar2b	19088
ENSMUSG00000003031.14	Cdkn1b	12576
ENSMUSG00000003032.8	Klf4	16600
ENSMUSG00000003033.15	Ap1m1	11767
ENSMUSG00000003037.16	Rab8a	17274
ENSMUSG00000003038.15	Hmgn2	15331
ENSMUSG00000003039.9	Fam32a	67922
ENSMUSG00000003051.13	Elf3	13710
ENSMUSG00000003053.17	Cyp2c29	13095
ENSMUSG00000003062.13	Stard3nl	76205
ENSMUSG00000003068.16	Stk11	20869
ENSMUSG00000003070.6	Efna2	13637
ENSMUSG00000003072.15	Atp5d	66043
ENSMUSG00000003099.11	Ppp5c	19060
ENSMUSG00000003119.14	Cdk12	69131
ENSMUSG00000003123.15	Lipe	16890
ENSMUSG00000003131.7	Pafah1b2	18475
ENSMUSG00000003134.10	Tbc1d8	54610
ENSMUSG00000003135.15	Cnot11	52846
ENSMUSG00000003153.10	Slc2a3	20527
ENSMUSG00000003154.15	Foxj2	60611
ENSMUSG00000003161.15	Sri	109552
ENSMUSG00000003166.20	Dgcr2	13356
ENSMUSG00000003184.15	Irf3	54131
ENSMUSG00000003190.12	Bcl2l12	75736
ENSMUSG00000003198.10	Zfp959	224893
ENSMUSG00000003199.16	Mpnd	68047
ENSMUSG00000003200.9	Sh3gl1	20405
ENSMUSG00000003206.6	Ebi3	50498
ENSMUSG00000003208.8	Ccdc94	72886
ENSMUSG00000003226.7	Ranbp2	19386
ENSMUSG00000003227.4	Edar	13608
ENSMUSG00000003228.8	Grk5	14773
ENSMUSG00000003233.12	Dvl3	13544
ENSMUSG00000003234.16	Abcf3	27406
ENSMUSG00000003235.13	Eif2b5	224045
ENSMUSG00000003269.17	Cyth2	19158
ENSMUSG00000003271.17	Sult2b1	54200
ENSMUSG00000003273.14	Car11	12348
ENSMUSG00000003279.16	Dlgap1	224997
ENSMUSG00000003282.9	Plag1	56711
ENSMUSG00000003283.14	Hck	15162
ENSMUSG00000003299.10	Mrpl4	66163
ENSMUSG00000003308.15	Keap1	50868
ENSMUSG00000003309.14	Ap1m2	11768
ENSMUSG00000003316.14	Glg1	20340
ENSMUSG00000003341.9	Atp8b3	67331
ENSMUSG00000003344.14	Btbd2	208198
ENSMUSG00000003345.16	Csnk1g2	103236
ENSMUSG00000003346.14	Abhd17a	216169
ENSMUSG00000003348.10	Mob3a	208228
ENSMUSG00000003352.14	Cacnb3	12297
ENSMUSG00000003354.6	Ccdc65	105833
ENSMUSG00000003355.7	Fkbp11	66120
ENSMUSG00000003360.15	Ddx23	74351
ENSMUSG00000003363.15	Pld3	18807
ENSMUSG00000003378.9	Grik5	14809
ENSMUSG00000003379.7	Cd79a	12518
ENSMUSG00000003380.11	Rabac1	14470
ENSMUSG00000003382.18	Etv3	27049
ENSMUSG00000003402.14	Prkcsh	19089
ENSMUSG00000003410.8	Elavl3	15571
ENSMUSG00000003411.10	Rab3b	69908
ENSMUSG00000003418.11	St8sia6	241230
ENSMUSG00000003420.8	Fcgrt	14132
ENSMUSG00000003421.13	Nosip	66394
ENSMUSG00000003423.15	Pih1d1	68845
ENSMUSG00000003429.11	Rps11	27207
ENSMUSG00000003435.9	Supt5	20924
ENSMUSG00000003436.11	Dll3	13389
ENSMUSG00000003437.14	Paf1	54624
ENSMUSG00000003438.17	Timm50	66525
ENSMUSG00000003444.8	Med29	67224
ENSMUSG00000003452.15	Bicd1	12121
ENSMUSG00000003458.12	Ncstn	59287
ENSMUSG00000003464.13	Pex19	19298
ENSMUSG00000003469.9	Phyhip	105653
ENSMUSG00000003476.16	Crhr2	12922
ENSMUSG00000003477.5	Inmt	21743
ENSMUSG00000003484.4	Cyp4f18	72054
ENSMUSG00000003500.13	Impdh1	23917
ENSMUSG00000003505.15	Psg18	26438
ENSMUSG00000003518.13	Dusp3	72349
ENSMUSG00000003526.12	Prodh	19125
ENSMUSG00000003527.9	Dgcr14	27886
ENSMUSG00000003528.15	Slc25a1	13358
ENSMUSG00000003531.15	Dgcr6	13353
ENSMUSG00000003534.17	Ddr1	12305
ENSMUSG00000003541.6	Ier3	15937
ENSMUSG00000003545.3	Fosb	14282
ENSMUSG00000003546.9	Klc4	74764
ENSMUSG00000003549.9	Ercc1	13870
ENSMUSG00000003555.7	Cyp17a1	13074
ENSMUSG00000003559.7	As3mt	57344
ENSMUSG00000003573.15	Homer3	26558
